汇通信诚-国银租赁-车分期-2019年第1期		GYZL01	国银租赁		0003	汇通信诚	Huitong Leasing				cl00297	汇通信诚-国银租赁-车分期-2019年第1期	cl00297	汇通信诚-国银租赁-车分期-2019年第1期		0	cl00297	汇通信诚-国银租赁-车分期-2019年第1期				
汇通信诚-国银租赁-车分期-2019年第2期		GYZL01	国银租赁		0003	汇通信诚	Huitong Leasing				cl00306	汇通信诚-国银租赁-车分期-2019年第2期	cl00306	汇通信诚-国银租赁-车分期-2019年第2期		0	cl00306	汇通信诚-国银租赁-车分期-2019年第2期				
汇通信诚-国银租赁-车分期-2019年第3期		GYZL01	国银租赁		0003	汇通信诚	Huitong Leasing				cl00309	汇通信诚-国银租赁-车分期-2019年第3期	cl00309	汇通信诚-国银租赁-车分期-2019年第3期		0	cl00309	汇通信诚-国银租赁-车分期-2019年第3期				
汇通信诚-粤财信托-车类资产-2019年第1期		YCXT	粤财信托		0003	汇通信诚	Huitong Leasing				cl00326	粤财信托-汇通租赁2019年第一期财产权信托	cl00326	汇通信诚-粤财信托-车类资产-2019年第1期		0	cl00326	粤财信托-汇通租赁2019年第一期财产权信托				
汇通信诚-和赢保理-车分期-2019年第1期		HYBL01	和赢保理		0003	汇通信诚	Huitong Leasing				cl00333	汇通-和赢一期	cl00333	汇通信诚-和赢保理-车分期-2019年第1期		0	cl00333	汇通-和赢一期				
上海易鑫-菁享1号-车分期-2019年第1期		JGSM01	机构私募		0010	上海易鑫	Yixin				CL201905220053	上海易鑫-菁享1号-车分期-2019年第1期				0	CL201905220053	上海易鑫-菁享1号-车分期-2019年第1期				
沣邦租赁-华润银行-车分期-2019年第1期		ZHXT01	中航信托		abs0004	沣邦租赁					CL201905240054	中航信托天启2019-291号沣邦租赁财产权信托				0	CL201905240054	中航信托天启2019-291号沣邦租赁财产权信托				
上海易鑫-华泰资管-车分期-2019年第2期		HTZG01	华泰资管		0010	上海易鑫	Yixin				CL201905310055	上海易鑫-华泰资管-车分期-2019年第2期				0	CL201905310055	上海易鑫-华泰资管-车分期-2019年第2期				
天津恒通-国银租赁-车抵贷-2018年第1期		GYZL01	国银租赁		abs0001	天津恒通					CL201906040056	天津恒通-国银租赁-车抵贷-2018年第1期				0	CL201906040056	天津恒通-国银租赁-车抵贷-2018年第1期				
上海易鑫-国银租赁-车分期-2018年第1期		GYZL01	国银租赁		0010	上海易鑫	Yixin				CL201906040057	上海易鑫-国银租赁-车分期-2018年第1期				0	CL201906040057	上海易鑫-国银租赁-车分期-2018年第1期				
上海易鑫-国银租赁-车分期-2019年第1期		GYZL01	国银租赁		0010	上海易鑫	Yixin				CL201906040058	上海易鑫-国银租赁-车分期-2019年第1期				0	CL201906040058	上海易鑫-国银租赁-车分期-2019年第1期				
车贷1-公开募集-车贷资产-2019年第1期		JGSM01	机构私募		abs0008	有车有家					CL201906050059	车贷1-公开募集-车贷资产-2019年第1期				0	CL201906050059	车贷1-公开募集-车贷资产-2019年第1期				
汇通信诚-国银租赁-车分期-2019年第4期		GYZL01	国银租赁		0003	汇通信诚	Huitong Leasing				CL201911130070	汇通信诚-国银租赁-车分期-2019年第4期	CL201911130070	汇通信诚-国银租赁-车分期-2019年第4期		0	CL201911130070	汇通信诚-国银租赁-车分期-2019年第4期				
汇通信诚-粤财信托-车类资产-2019年第2期		YCXT	粤财信托		0003	汇通信诚	Huitong Leasing				CL201912100072	粤财信托-汇通信诚财产权信托二期				0	CL201912100072	粤财信托-汇通信诚财产权信托二期				
上海易鑫-菁享1号-车分期-2019年第1期-循环		JGSM01	机构私募		0010	上海易鑫	Yixin				CL201912170073	上海易鑫-菁享1号-车分期-2019年第1期-循环				0	CL201912170073	上海易鑫-菁享1号-车分期-2019年第1期-循环				
上海易鑫-华泰资管-车分期-2019年第1期-循环		HTZG01	华泰资管		0010	上海易鑫	Yixin				CL201912260074	上海易鑫-华泰资管-车分期-2019年第1期-循环				0	CL201912260074	上海易鑫-华泰资管-车分期-2019年第1期-循环				
汇通信诚-国银租赁-车分期-2020年第1期		GYZL01	国银租赁		0003	汇通信诚	Huitong Leasing				CL202002240081	汇通信诚-国银租赁-车分期-2020年第1期	CL202002240081	汇通信诚-国银租赁-车分期-2020年第1期		0	CL202002240081	汇通信诚-国银租赁-车分期-2020年第1期				
上海易鑫-华泰资管-车分期-2019年第2期-循环		HTZG01	华泰资管		0010	上海易鑫	Yixin				CL202003200082	上海易鑫-华泰资管-车分期-2019年第2期-循环				0	CL202003200082	上海易鑫-华泰资管-车分期-2019年第2期-循环				
汇通信诚-中豪保理-车分期-2020年第1期		ZHBL01	中豪保理		0003	汇通信诚	Huitong Leasing				CL202003230083	中豪再保理				0	CL202003230083	中豪再保理				
汇通信诚-和赢保理-车类应收-2020年第1期		HYBL01	和赢保理		0003	汇通信诚	Huitong Leasing				CL202007020086	汇通和赢202001				0	CL202007020086	汇通和赢202001				
汇通信诚-永丰银行-车分期-2020年第1期		YFYH01	永丰银行		0003	汇通信诚	Huitong Leasing				CL202011090088	永丰-汇通第一期				0	CL202011090088	永丰-汇通第一期				
汇通信诚-和赢保理-应收ABN-2020年第1期		HYBL01	和赢保理		0003	汇通信诚	Huitong Leasing				CL202011090089	汇通和赢ABN202001				0	CL202011090089	汇通和赢ABN202001				
商租-银行-汽车融资租赁-2020年第1期-模拟		GYZL01	国银租赁		0003	汇通信诚	Huitong Leasing				CL202011090090	汽车融资租赁模拟项目				0	CL202011090090	汽车融资租赁模拟项目				
东亚银行-机构-车位分期-2019年第1期		JGSM01	机构私募		abs0006	东亚银行					PL201904110050	东亚银行-机构-车位分期-2019年第1期				0	PL201904110050	东亚银行-机构-车位分期-2019年第1期				
上海易鑫-华泰资管-车分期-2019年第1期		HTZG01	华泰资管		0010	上海易鑫	Yixin				PL201905080051	上海易鑫-华泰资管-车分期-2019年第1期				0	PL201905080051	上海易鑫-华泰资管-车分期-2019年第1期				
东亚-银登-车位分期-2019年第1期-实际		YD01	银登		abs0006	东亚银行					PL201908210066	东亚中国车位分期银登				0	PL201908210066	东亚中国车位分期银登				
东亚中国-银登-车位分期-2019年第1期-te		YD01	银登		abs0006	东亚银行					PL201908220067	东亚中国				0	PL201908220067	东亚中国				
